run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
eb4d308e-7b36-4eda-b3d8-4d5aa3b4af12,2026-05-06 05:17:18,perl,mandelbrot,1121943,12092793645,,,,,,,,,,,,,4046848,,,,,,,,,,,,,,,,,,0,,,,,,486659,8989,96888458,94,1016842,0,,,,,,,,,,,,,6879,,,,,,339166087
f2d7e9e0-bdbf-4590-863c-9bfe1178eadb,2026-05-06 05:08:51,perl,fasta,73223,789233321,,,,,,,,,,,,,3743744,,,,,,,,,,,,,,,,,,0,,,,,,57167,1118,12052570,0,0,0,,,,,,,,,,,,,0,,,,,,39841199
5abb6b5d-43f5-4c8f-a9dc-6ce964f4402e,2026-05-06 05:05:14,perl,spectral-norm,61496,662826755,,,,,,,,,,,,,3932160,,,,,,,,,,,,,,,,,,0,,,,,,24742,473,5103146,0,0,0,,,,,,,,,,,,,0,,,,,,17243734
222699e4-e4c0-40f1-a29f-29efbe0862b1,2026-05-06 04:59:28,perl,n-body,429686,4631345684,,,,,,,,,,,,,3710976,,,,,,,,,,,,,,,,,,0,,,,,,351956,6468,69714296,51,554614,0,,,,,,,,,,,,,3752,,,,,,245287709
e452d7e6-908c-412a-a6c6-e4ab21ae93c6,2026-05-06 04:49:57,perl,fannkuch-redux,845794,9116340147,,,,,,,,,,,,,3801088,,,,,,,,,,,,,,,,,,0,,,,,,367624,6774,73011372,40,433403,0,,,,,,,,,,,,,2932,,,,,,256207552
58723299-1c46-420f-8d56-83572fabf4e9,2026-05-06 04:43:01,perl,binary-trees,100944,1088023653,,,,,,,,,,,,,4030464,,,,,,,,,,,,,,,,,,0,,,,,,43955,2254,24290214,0,0,0,,,,,,,,,,,,,0,,,,,,30633337
5ff84d77-eb57-4589-86ab-41702e8299fc,2026-05-06 04:39:49,perl,mandelbrot,1118320,12053753634,,,,,,,,,,,,,4046848,,,,,,,,,,,,,,,,,,0,,,,,,485274,8964,96621795,64,688242,0,,,,,,,,,,,,,4656,,,,,,338201430
795c552b-4f47-4f5d-978f-00c0830e519e,2026-05-06 04:31:23,perl,fasta,74552,803558583,,,,,,,,,,,,,3743744,,,,,,,,,,,,,,,,,,0,,,,,,58468,1140,12285657,47,502139,0,,,,,,,,,,,,,3397,,,,,,40747877
96300eef-7ca5-4281-8234-a41631ea662b,2026-05-06 04:27:45,perl,spectral-norm,62201,670435279,,,,,,,,,,,,,3932160,,,,,,,,,,,,,,,,,,0,,,,,,24976,474,5113338,34,365111,0,,,,,,,,,,,,,2470,,,,,,17406144
257af7f5-8ccb-4ec8-ae92-cebd8b67e953,2026-05-06 04:21:52,perl,n-body,424312,4573418890,,,,,,,,,,,,,3710976,,,,,,,,,,,,,,,,,,0,,,,,,347121,6376,68725407,60,651731,0,,,,,,,,,,,,,4409,,,,,,241918329
